Most common words,GOT1 relative frequency,GOT2 relative frequency,Relative frequency difference
realm,0.0004164252607184241,0.000284619799273053,0.0001318054614453711
horse,0.0012915218230977212,0.0014230989963652653,0.0001315771732675441
saying,0.00018105446118192353,0.0003126151893654845,0.00013156072818356094
tears,0.00018105446118192353,0.0003126151893654845,0.00013156072818356094
stones,0.0003741792197759753,0.00024262671413440587,0.00013155250564156942
came,0.0021364426419466977,0.002006336289957587,0.00013010635198911066
rest,0.0007785341830822711,0.0006485598704746618,0.00012997431260760933
done,0.0012613460795674006,0.0013904377079240952,0.0001290916283566946
salt,0.00036210892236384707,0.00023329491743692872,0.00012881400492691835
greatjon,9.052723059096177e-05,0.000219297222390713,0.00012876999179975123
heard,0.001593279258400927,0.001721716490684534,0.00012843723228360697
death,0.0006276554654306683,0.0004992511233150275,0.00012840434211564076
mud,0.0003802143684820394,0.000251958510831883,0.00012825585765015638
caught,0.0004224604094244882,0.0005505760051511517,0.00012811559572666352
twins,0.00015691386635766706,0.000284619799273053,0.00012770593291538596
seat,0.00039831981460023173,0.0002706221042268373,0.0001276977103733944
shae,0.00045867130166087294,0.0003312787827604388,0.00012739251890043417
ran,0.0006638663576670529,0.0005365783101049361,0.00012728804756211682
upon,0.0005914445731942835,0.0007185483457057405,0.00012710377251145698
song,0.0003862495171881035,0.0005132488183612431,0.00012699930117313963
stupid,0.00032589803012746235,0.00045259213982764174,0.0001266941097001794
ever,0.001339803012746234,0.0012131335706720293,0.00012666944207420476
beyond,0.0005974797219003476,0.000471255733222596,0.0001262239886777516
love,0.00071818269602163,0.0005925690902897989,0.00012561360573183113
heavy,0.0005371282348397065,0.0006625575655208776,0.00012542933068117107
white,0.001544998068752414,0.0016703916088484096,0.0001253935400959956
casterly,0.00022933565083043647,0.00035460827450413163,0.00012527262367369516
hard,0.0012915218230977212,0.0011664745871846436,0.00012504723591307758
burned,0.0005431633835457706,0.0006672234638696161,0.0001240600803238455
kingslayer,0.00019915990730011587,0.0003219469860629616,0.00012278707876284576
dragons,0.0005491985322518347,0.0006718893622183548,0.00012269082996652005
loose,0.00018105446118192353,0.0003032833926680073,0.0001222289314860838
folk,0.00016294901506373117,0.000284619799273053,0.00012167078420932185
reached,0.0006578312089609888,0.0005365783101049361,0.00012125289885605271
dreams,0.0003681440710699112,0.0002472926124831444,0.00012085145858676676
hair,0.0010923619157976053,0.0012131335706720293,0.00012077165487442399
forward,0.00033193317883352646,0.00045259213982764174,0.00012065896099411528
blackwater,0.0002112302047122441,0.0003312787827604388,0.00012004857804819466
eyrie,9.052723059096177e-05,0.00020996542569323584,0.00011943819510227408
riverrun,0.0005431633835457706,0.0006625575655208776,0.00011939418197510696
cup,0.0005854094244882194,0.00046658983487385744,0.00011881958961436193
walked,0.00031986288142139824,0.000438594444781426,0.00011873156336002775
friends,0.00021726535341830822,0.0003359446811091774,0.00011867932769086916
choice,0.00021726535341830822,0.0003359446811091774,0.00011867932769086916
carried,0.00033796832753959057,0.000219297222390713,0.00011867110514887758
horses,0.0008509559675550406,0.0007325460407519562,0.00011840992680308435
mallister,9.656237929702588e-05,0.00021463132404197442,0.00011806894474494854
protect,0.0001388084202394747,0.00025662440918062157,0.00011781598894114686
something,0.0008388856701429123,0.0009565091614914077,0.00011762349134849539
heads,0.0003741792197759753,0.00025662440918062157,0.00011755481059535372
wise,0.00012070297412128235,0.0002379608157856673,0.00011725784166438495
rode,0.0007423232908458865,0.000625230378730969,0.00011709291211491751
yellow,0.00030779258400926996,0.0004245967497352103,0.00011680416572594032
captive,0.00020519505600618,0.0003219469860629616,0.00011675193005678162
maiden,0.00010259752800309,0.000219297222390713,0.00011669969438762299
shadow,0.0005552336809578988,0.000438594444781426,0.00011663923617647283
pink,0.00018708960988798764,0.0003032833926680073,0.00011619378278001968
fit,0.00012673812282734646,0.00024262671413440587,0.00011588859130705941
dark,0.0011466782541521823,0.001031163535071225,0.00011551471908095726
king,0.004930716492854384,0.004815207095898209,0.00011550939695617515
marriage,0.00015087871765160293,0.0002659562058780987,0.0001150774882264958
